Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Label
10.152.152.11-74.125.136.120-49132-443-6,10.152.152.11,49132,74.125.136.120,443,6,24/07/2015 04:09:49 PM,90513641,32,41,3369,21725,261,0,105.28125,110.5540983833,1460,0,529.8780487805,618.9462090974,277.2399797728,0.8065082698,1257133.90277778,7451707.32980826,45055648,5,90513169,2919779.64516129,11242855.2489983,45056049,276,90513350,2262833.75,9937669.64547033,45056120,5,1,0,0,0,640,820,0.3535378717,0.4529703981,0,1460,342.6351351351,509.4929677906,259583.084228064,0,0,0,34,73,0,0,0,1,347.3287671233,105.28125,529.8780487805,0,0,0,0,45,56568,0,46,0,297,2640,1918,20,20,0,0,0,0,1437764992474550,12970217.8559776,1437765080189255,1437764989677008,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.33.105-34481-443-6,10.152.152.11,34481,173.194.33.105,443,6,24/07/2015 04:10:06 PM,106135081,30,30,22289,680,1460,0,742.9666666667,684.4798923186,186,0,22.6666666667,46.0901166257,216.4128936784,0.5653173243,1798899.6779661,8368478.61814863,45039110,13,106134649,3659815.48275862,11748065.8785359,45039483,49,106134727,3659818.17241379,11747975.8165173,45039328,13,0,0,0,0,600,600,0.2826586621,0.2826586621,0,1460,400.4754098361,613.3549436381,376204.286885246,0,0,0,20,60,0,0,0,1,407.15,742.9666666667,22.6666666667,0,0,0,0,14,11207,0,371,0,11,2640,2970,20,20,0,0,0,0,1437765032510550,31153375.6709959,1437765112189400,1437765006055269,Non-Tor,AUDIO-STREAMING
10.152.152.11-74.125.136.188-50953-5228-6,10.152.152.11,50953,74.125.136.188,5228,6,24/07/2015 04:09:55 PM,90112487,3,3,0,0,0,0,0,0,0,0,0,0,0,0.066583447,18022497.4,24677726.1860561,45055666,392,90112018,45056009,69.2964645563,45056058,45055960,90112045,45056022.5,159.099025767,45056135,45055910,0,0,0,0,60,60,0.0332917235,0.0332917235,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2373,1315,0,20,0,0,0,0,1437765040125860,36787576.7902068,1437765085181282,1437764995070490,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.33.118-41313-443-6,10.152.152.11,41313,173.194.33.118,443,6,24/07/2015 04:10:01 PM,86022308,9,9,2879,1060,1460,0,319.8888888889,598.030401494,498,0,117.7777777778,215.3397186876,45.7904477522,0.2092480476,5060135.76470588,14121174.0246672,45055326,16,86021950,10752743.75,19643165.8388477,45055941,45,86021693,10752711.625,19642968.752652,45055851,16,0,0,0,0,180,180,0.1046240238,0.1046240238,0,1460,207.3157894737,438.5126442661,192293.339181287,0,0,0,6,18,0,0,0,1,218.8333333333,319.8888888889,117.7777777778,0,0,0,0,7,3848,0,159,0,58,14626,5386,4,20,0,0,0,0,1437765076673930,24283926.4659888,1437765087619546,1437765001598807,Non-Tor,AUDIO-STREAMING
10.152.152.11-74.125.136.132-41995-443-6,10.152.152.11,41995,74.125.136.132,443,6,24/07/2015 04:09:49 PM,101242010,18,18,1490,3970,485,0,82.7777777778,126.1891929537,1213,0,220.5555555556,355.6758640412,53.9301817497,0.3555836159,2892628.85714286,10611580.7109376,45120787,17,101241749,5955397,14829528.8233656,45121069,638,101241815,5955400.88235294,14829389.4953702,45121048,598,1,0,0,0,360,360,0.177791808,0.177791808,0,1213,149.8648648649,268.5590315991,72123.9534534535,0,0,0,16,36,0,0,0,1,154.0277777778,82.7777777778,220.5555555556,0,0,0,0,5,3867,0,41,0,110,1892,1248,9,20,0,0,0,0,1437765000096610,20716782.6472415,1437765090942348,1437764989701310,Non-Tor,AUDIO-STREAMING
10.152.152.11-216.58.220.99-57157-443-6,10.152.152.11,57157,216.58.220.99,443,6,24/07/2015 04:09:49 PM,104050917,27,32,5119,1751,693,0,189.5925925926,239.0750219008,207,0,54.71875,80.2919006782,66.0253671767,0.567030082,1793981.32758621,7175783.68562281,45045224,14,104050582,4001945.46153846,10402819.5183761,45045533,320,104050660,3356472.90322581,9616919.22073357,45045559,217,1,0,0,0,540,640,0.2594883426,0.3075417394,0,693,126.05,196.5464041468,38630.4889830509,0,0,0,31,59,0,0,0,1,128.186440678,189.5925925926,54.71875,0,0,0,0,7,1306,0,86,0,29,2640,2598,18,20,0,0,0,0,1437765015090560,25545709.8150273,1437765093949282,1437764989899369,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.149-45258-443-6,10.152.152.11,45258,173.194.65.149,443,6,24/07/2015 04:10:04 PM,90586766,6,7,383,324,245,0,63.8333333333,94.9724521462,255,0,46.2857142857,95.5592561114,7.8046720423,0.1435088211,7548897.16666667,17511414.4120332,45055570,165,90586197,18117239.4,24575651.0000889,45056003,726,90586276,15097712.6666667,23206874.9740064,45057901,401,1,0,0,0,120,140,0.0662348405,0.0772739806,0,255,68,101.7621661598,10355.5384615385,0,0,0,5,13,0,0,0,1,73.2307692308,63.8333333333,46.2857142857,0,0,0,0,5,1495,0,29,0,24,2257,1204,2,20,0,0,0,0,1437765021550706,30456672.2896181,1437765095421230,1437765004835702,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.102-47874-443-6,10.152.152.11,47874,173.194.65.102,443,6,24/07/2015 04:10:10 PM,90104287,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0665895064,18020857.4,24675569.6929415,45055618,265,90104022,45052011,5631.3984053697,45055993,45048029,90103819,45051909.5,5619.3775900895,45055883,45047936,0,0,0,0,60,60,0.0332947532,0.0332947532,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2075,1114,0,20,0,0,0,0,1437765055615722,36784315.7790663,1437765100669190,1437765010566385,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.101-47698-443-6,10.152.152.11,47698,173.194.65.101,443,6,24/07/2015 04:10:11 PM,90112415,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0665835002,18022483,24677763.0659865,45055623,348,90112003,45056001.5,57.2756492761,45056042,45055961,90111996,45055998,38.1837661841,45056025,45055971,0,0,0,0,60,60,0.0332917501,0.0332917501,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2640,1959,0,20,0,0,0,0,1437765056765800,36787615.9813294,1437765101821248,1437765011710360,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.138-57468-443-6,10.152.152.11,57468,173.194.65.138,443,6,24/07/2015 04:09:59 PM,104202473,40,50,13968,23958,1460,0,349.2,561.6930085887,1460,0,479.16,588.1949336742,363.9644905548,0.86370311,1170814.30337079,6805568.77916692,45055689,9,104202170,2671850.51282051,10156040.9760175,45056027,42,104202026,2126571.95918367,9101590.75679403,45055992,9,1,0,0,0,800,1000,0.3838680489,0.4798350611,0,1460,420.1648351648,573.9238482922,329388.583638584,0,0,0,33,90,0,0,0,1,424.8333333333,349.2,479.16,0,0,0,0,24,16464,0,155,0,266,2640,2640,20,20,0,0,0,0,1437765009220640,14268148.1490623,1437765103613270,1437764999412084,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.138-57457-443-6,10.152.152.11,57457,173.194.65.138,443,6,24/07/2015 04:10:25 PM,90176018,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0665365375,18035203.6,24695156.4974815,45119089,353,90175602,45087801,44936.6359444051,45119576,45056026,90175531,45087765.5,44797.3359085113,45119442,45056089,0,0,0,0,60,60,0.0332682687,0.0332682687,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,2142,0,20,0,0,0,0,1437765070573940,36813552.8629648,1437765115645313,1437765025470904,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.102-47874-443-6,10.152.152.11,47874,173.194.65.102,443,6,24/07/2015 04:12:25 PM,59904266,2,4,0,154,0,0,0,0,154,0,38.5,77,2.5707684992,0.1001598117,11980853.2,19575353.6977083,45055748,77,45056024,45056024,0,45056024,45056024,59903990,19967996.6666667,22960167.9827666,45055961,77,0,0,0,0,40,80,0.0333866039,0.0667732078,0,154,22,58.2065288434,3388,1,0,0,1,6,0,0,0,2,25.6666666667,0,38.5,0,0,0,0,0,0,0,0,0,25,2075,1114,0,20,0,0,0,0,1437765180712300,31195282.7445012,1437765205629535,1437765145726048,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.101-47698-443-6,10.152.152.11,47698,173.194.65.101,443,6,24/07/2015 04:12:26 PM,59650091,3,3,0,154,0,0,0,0,154,0,51.3333333333,88.9119414552,2.5817228007,0.1005866026,11930018.2,19566058.4732663,45055596,393,59650091,29825045.5,21539806.8654383,45055989,14594102,59648604,29824302,21540950.2571035,45056054,14592550,0,0,0,0,60,60,0.0502933013,0.0502933013,0,154,22,58.2065288434,3388,1,0,0,1,6,0,0,0,1,25.6666666667,0,51.3333333333,0,0,0,0,0,0,0,0,0,25,2640,1959,0,20,0,0,0,0,1437765181779288,31093221.9735042,1437765206526165,1437765146878477,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.138-57457-443-6,10.152.152.11,57457,173.194.65.138,443,6,24/07/2015 04:12:40 PM,59690811,2,4,0,154,0,0,0,0,154,0,38.5,77,2.5799615958,0.1005179843,11938162.2,19567640.2974655,45055573,81,45056011,45056011,0,45056011,45056011,59690373,19896791,22984292.6329369,45055945,81,0,0,0,0,40,80,0.0335059948,0.0670119895,0,154,22,58.2065288434,3388,1,0,0,1,6,0,0,0,2,25.6666666667,0,38.5,0,0,0,0,0,0,0,0,0,25,1181,2142,0,20,0,0,0,0,1437765195617159,31109887.874615,1437765220391937,1437765160702389,Non-Tor,AUDIO-STREAMING
10.152.152.11-216.58.216.142-57361-443-6,10.152.152.11,57361,216.58.216.142,443,6,24/07/2015 04:11:48 PM,119951935,304,311,169583,26564,1460,0,557.8388157895,607.1115814113,996,0,85.4147909968,179.7794840278,1635.2133043956,5.1270535986,195361.457654723,740408.011189199,7159955,3,119951799,395880.524752475,1019675.26325024,7160182,22,119951704,386940.980645162,1006941.75581693,7160274,7,0,0,0,0,6080,6220,2.5343484455,2.5927051531,0,1460,320.7905844156,505.7564148834,255789.551195755,0,0,0,242,615,0,0,0,1,321.312195122,557.8388157895,85.4147909968,0,0,0,0,13,4228,0,275,0,43,21142,8323,215,20,0,0,0,0,1437765165965000,35633524.4387064,1437765228655946,1437765108704094,Non-Tor,AUDIO-STREAMING
10.152.152.11-74.125.136.120-49132-443-6,10.152.152.11,49132,74.125.136.120,443,6,24/07/2015 04:12:05 PM,104786818,4,4,0,154,0,0,0,0,154,0,38.5,77,1.4696505051,0.0763454808,14969545.4285714,21239634.1943769,45055825,251,104786818,34928939.3333333,17540642.4957768,45056076,14674750,104785618,34928539.3333333,17541502.4590901,45056200,14673357,0,0,0,0,80,80,0.0381727404,0.0381727404,0,154,17.1111111111,51.3333333333,2635.1111111111,1,0,0,1,8,0,0,0,1,19.25,0,38.5,0,0,0,0,0,0,0,0,0,19,2640,1918,0,20,0,0,0,0,1437765182247640,41575415.6435066,1437765230030969,1437765125246170,Non-Tor,AUDIO-STREAMING
173.194.33.97-10.152.152.11-443-56254-6,173.194.33.97,443,10.152.152.11,56254,6,24/07/2015 04:11:48 PM,111585868,247,235,13451,124332,1460,0,54.4574898785,118.6345639808,1460,0,529.0723404255,583.6364991333,1234.7710554172,4.3195434031,231987.251559252,1205828.4098158,13338817,6,111549551,453453.459349594,1658215.30765548,13339032,6,111585798,476862.384615385,1700700.72011641,13339242,20,0,0,0,0,4940,4700,2.2135419514,2.1060014517,0,1460,288.2877846791,481.3378291853,231686.105804833,0,0,0,205,482,0,0,0,0,288.8858921162,54.4574898785,529.0723404255,0,0,0,0,20,4245,0,27,0,257,9520,9520,93,20,0,0,0,0,1.43776516260995E+015,35660221.1544656,1437765220248927,1437765108699885,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.127-34702-19305-6,10.152.152.11,34702,173.194.65.127,19305,6,24/07/2015 04:12:00 PM,119997944,3494,3180,187488,492160,175,0,53.6599885518,50.5856117183,1184,0,154.7672955975,196.9647598939,5663.8303736271,55.6176195819,17982.6081222839,18423.2692636743,125670,18,119995436,34353.1165187518,26071.0969568977,141392,104,119937453,37728.0443535703,23920.1316509041,133509,176,0,0,0,0,69880,63600,29.1171655408,26.5004540411,0,1184,101.8199250936,149.5658964449,22369.9573793771,0,0,0,4160,6674,0,0,0,0,101.8351813006,53.6599885518,154.7672955975,0,0,0,0,4160,5666,0,28,0,73,5292,5292,2381,20,0,0,0,0,1437765180052400,34537394.0282813,1437765240508587,1437765120518844,Non-Tor,AUDIO-STREAMING
10.152.152.11-74.125.136.132-41995-443-6,10.152.152.11,41995,74.125.136.132,443,6,24/07/2015 04:12:15 PM,104732111,3,5,0,154,0,0,0,0,154,0,30.8,68.870893707,1.4704181796,0.07638536,14961730.1428571,21239940.6045026,45056115,68,90112545,45056272.5,376.8879143724,45056539,45056006,104731761,26182940.25,22595513.4435804,45056502,68,0,0,0,0,60,100,0.02864451,0.04774085,0,154,17.1111111111,51.3333333333,2635.1111111111,1,0,0,1,8,0,0,0,1,19.25,0,30.8,0,0,0,0,0,0,0,0,0,19,2640,1248,0,20,0,0,0,0,1437765192989050,41560022.5896067,1437765240729299,1437765135998420,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.149-45258-443-6,10.152.152.11,45258,173.194.65.149,443,6,24/07/2015 04:12:20 PM,104786006,4,5,0,154,0,0,0,0,154,0,30.8,68.870893707,1.4696618936,0.0858893314,13098250.75,20363805.8741932,45055732,30,104785976,34928658.6666667,17541014.30969,45056085,14674040,104785454,26196363.5,22586095.756623,45056350,124,0,0,0,0,80,100,0.0381730362,0.0477162952,0,154,15.4,48.6990759666,2371.6,1,0,0,1,9,0,0,0,1,17.1111111111,0,30.8,0,0,0,0,0,0,0,0,0,17,2440,1204,0,20,0,0,0,0,1437765202998140,39566697.6838978,1437765245262985,1437765140478626,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.33.105-34481-443-6,10.152.152.11,34481,173.194.33.105,443,6,24/07/2015 04:12:06 PM,90958081,9,9,3828,340,1460,0,425.3333333333,618.1824164436,271,0,37.7777777778,90.386362049,45.8233062327,0.1978933571,5350475.35294118,14950897.5945209,45120268,19,90957550,11369693.75,20802072.9176138,45120563,154,90957683,11369710.375,20801998.4390578,45120799,19,0,0,0,0,180,180,0.0989466785,0.0989466785,0,1460,296.2105263158,538.934192947,290450.064327485,0,0,0,6,18,0,0,0,1,312.6666666667,425.3333333333,37.7777777778,0,0,0,0,7,5110,0,212,0,18,2640,2970,4,20,0,0,0,0,1.43776513776298E+015,26190465.9154721,1437765217021867,1437765126064785,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.138-57468-443-6,10.152.152.11,57468,173.194.65.138,443,6,24/07/2015 04:12:28 PM,104887796,3,5,0,154,0,0,0,0,154,0,30.8,68.870893707,1.4682356373,0.0762719812,14983970.8571429,21239420.1596616,45055613,94,90111963,45055981.5,88.3883476483,45056044,45055919,104887351,26221837.75,22568804.3350792,45056052,94,0,0,0,0,60,100,0.0286019929,0.0476699882,0,154,17.1111111111,51.3333333333,2635.1111111111,1,0,0,1,8,0,0,0,1,19.25,0,30.8,0,0,0,0,0,0,0,0,0,19,2640,2640,0,20,0,0,0,0,1437765205692020,41604606.5066616,1437765253556897,1.43776514867051E+015,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.33.118-41313-443-6,10.152.152.11,41313,173.194.33.118,443,6,24/07/2015 04:12:12 PM,75987458,10,10,2879,1060,1460,0,287.9,572.831068757,583,0,106,197.7574271677,51.8375019204,0.2632013299,3999339.89473684,12071082.1921583,45055553,14,75987143,8443015.88888889,16901351.3245467,45055996,40,75987015,8443001.66666667,16901193.5663414,45055912,21,0,0,0,0,200,200,0.1316006649,0.1316006649,0,1460,187.5714285714,418.782231169,175378.557142857,0,0,0,7,20,0,0,0,1,196.95,287.9,106,0,0,0,0,8,3965,0,143,0,53,14626,5386,4,20,0,0,0,0,1437765200607880,19595021.3791161,1437765208656797,1437765132670470,Non-Tor,AUDIO-STREAMING
74.125.28.189-10.152.152.11-443-44097-6,74.125.28.189,443,10.152.152.11,44097,6,24/07/2015 04:11:57 PM,118129838,19,18,2657,4649,758,0,139.8421052632,210.7840556794,1460,0,258.2777777778,482.884446725,61.8472023978,0.313214685,3281384.38888889,8568703.67773093,29708801,19,118091906,6560661.44444444,11337740.7802169,29708890,90,118091929,6946584.05882353,11562845.5094439,29708902,166,1,0,0,0,380,360,0.1608399734,0.1523747116,0,1460,194.5,364.1251455497,132587.121621622,0,0,0,17,37,0,0,0,0,199.7567567568,139.8421052632,258.2777777778,0,0,0,0,7,3792,0,71,0,125,2640,3346,11,20,0,0,0,0,1437765197622890,23025020.0251647,1437765235431282,1437765117377726,Non-Tor,AUDIO-STREAMING
10.152.152.11-74.125.136.188-50953-5228-6,10.152.152.11,50953,74.125.136.188,5228,6,24/07/2015 04:12:10 PM,90112420,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0665834965,18022484,24677783.1491675,45055669,320,90112024,45056012,32.5269119346,45056035,45055989,90112100,45056050,57.9827560573,45056091,45056009,0,0,0,0,60,60,0.0332917482,0.0332917482,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2373,1315,0,20,0,0,0,0,1437765175293819,36787604.5501823,1437765220349216,1437765130238356,Non-Tor,AUDIO-STREAMING
